,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,norm,name
119,rbf,0.03474409032815501,50.0,0.1,0.001,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
120,rbf,0.012547499726271833,50.0,0.1,1.0,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
121,poly,-0.0504208288308085,50.0,0.1,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
122,poly,-0.024252986355458986,100.0,0.3,0.01,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
123,poly,-0.09427081627016447,10.0,0.01,0.5,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
124,poly,0.03332650458692585,50.0,0.5,0.01,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
125,poly,-0.05371121748974558,1.0,0.01,0.001,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
126,poly,0.22617650051895777,50.0,1.0,0.1,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
127,poly,-0.053445626181506105,100.0,0.001,0.001,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
128,poly,0.03476669115720108,10.0,0.001,0.5,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
129,poly,-0.09492238102818357,50.0,0.001,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
130,poly,0.03192430460866644,100.0,1.0,0.1,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
131,poly,-0.053382876836900205,1.0,0.01,0.1,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
132,poly,0.17413074937263717,,,,,,art.attacks.evasion.ProjectedGradientDescent
133,poly,-0.0941434733289377,100.0,0.1,1.0,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
134,poly,0.03451662772773214,100.0,0.1,0.5,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
135,poly,-0.09492238245272937,50.0,0.5,0.001,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
136,poly,-0.053445626181506105,100.0,0.001,0.01,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
137,poly,0.2261765002242825,50.0,1.0,1.0,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
138,poly,0.01285618920569287,1.0,0.1,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
139,poly,0.22617635082886078,100.0,1.0,0.001,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
140,poly,-0.051822648016128986,100.0,1.0,0.5,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
141,poly,-0.024252200194006503,10.0,0.1,1.0,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
142,poly,-0.12700194562771305,50.0,1.0,0.5,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
143,poly,0.027417375481166628,10.0,0.3,0.01,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
144,poly,-0.05042082745317689,50.0,0.1,0.5,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
145,poly,-0.0533828773667345,50.0,0.1,0.01,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
146,poly,-0.05251735758921368,1.0,1.0,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
147,poly,-0.05338287704787858,50.0,0.01,0.3,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
148,poly,-0.09498869217780079,50.0,0.001,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
149,poly,-0.09427083052037863,100.0,1.0,0.001,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
150,poly,-0.053711219816011936,10.0,0.01,0.01,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
151,poly,0.038239366193732305,50.0,0.3,1.0,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
152,poly,0.012547499726271833,10.0,0.1,0.5,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
153,poly,-0.05182248957625334,10.0,0.5,0.01,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
154,poly,0.03456225104307324,10.0,0.01,0.5,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
155,poly,0.22617650051895777,50.0,1.0,0.1,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
156,poly,0.032388786676101414,100.0,0.1,0.001,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
157,poly,-0.05371121963558548,10.0,1.0,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
158,poly,-0.024252336352478903,10.0,0.1,0.1,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
159,poly,-0.09440612779440706,50.0,0.001,0.001,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
160,poly,-0.05338287762977934,50.0,0.01,0.1,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
161,poly,0.03274636390243619,50.0,0.01,1.0,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
