,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,name
142,rbf,-0.026050101675470373,10,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
143,rbf,-0.05592429620735171,1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
144,rbf,-0.012068868210529327,100,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
145,rbf,-0.04503735969974661,10,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
146,rbf,-0.06105566514633702,1,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
147,rbf,-0.08800286031657376,100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
148,rbf,-0.056840282622915475,10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
149,rbf,-0.0699092409333387,100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
150,rbf,0.06632981263931019,10,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
151,rbf,-0.07613837167745449,1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
152,rbf,-0.1557786755451421,100,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
153,rbf,-0.11025594559451565,100,1.0,0.01,10,art.attacks.evasion.ProjectedGradientDescent
154,rbf,0.05210608923956106,10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
155,rbf,-0.03243088663897407,10,0.1,0.1,100,art.attacks.evasion.ProjectedGradientDescent
156,rbf,-0.07372647017468212,100,1.0,0.1,1,art.attacks.evasion.ProjectedGradientDescent
157,rbf,0.05499754282817628,1,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
158,rbf,-0.037671217790258796,1,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
159,rbf,-0.07412592626543033,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
160,rbf,-0.032790802745591006,100,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
161,rbf,0.027429250299176332,100,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
162,rbf,-0.06881186245255386,10,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
163,rbf,-0.2160544479548383,10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
164,rbf,-0.07365161741702905,100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
165,rbf,-0.123408480624655,1,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
166,rbf,0.014079112704289853,10,1.0,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
167,rbf,-0.14989309773262902,100,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
168,rbf,-0.07181564240590296,1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
169,rbf,-0.0718356417641016,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
170,rbf,-0.06996910605967407,100,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
171,rbf,-0.04333577769692165,10,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
172,rbf,-0.06031377776012934,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
173,rbf,-0.13107907905490146,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
174,rbf,-0.04336373051461049,1,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
175,rbf,-0.21777872423017705,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
176,rbf,-0.0473415274169696,10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
177,rbf,0.05151853743394885,10,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
178,rbf,0.05416751053634532,100,1.0,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
179,rbf,-0.05678189537891041,10,0.01,0.1,10,art.attacks.evasion.ProjectedGradientDescent
180,rbf,-0.04779761389142088,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
181,rbf,-0.143472151842807,1,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
182,rbf,-0.06689903501348723,10,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
183,rbf,-0.043919194805723594,10,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
184,rbf,-0.1037212903015475,10,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
185,rbf,-0.032095036906995,100,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
186,rbf,-0.060711298492083274,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
187,rbf,-0.043642318635013,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
188,rbf,-0.12240746432954183,1,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
189,rbf,-0.032234320632067215,10,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
190,rbf,-0.05345681014761783,10,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
191,rbf,-0.0672687451597502,100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
192,rbf,-0.061433875648785906,100,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
193,rbf,-0.12741580105868658,100,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
194,rbf,-0.007429628346021966,10,0.1,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
195,rbf,-0.0713221792603432,1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
196,rbf,-0.06600312330739544,10,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
197,rbf,-0.06864199139962882,10,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
198,rbf,-0.19676425309415144,100,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
199,rbf,-0.04736152021264948,10,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
200,rbf,-0.21803576474399566,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
201,rbf,-0.08511165253156946,100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
202,rbf,-0.009890811612189632,100,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
203,rbf,-0.12838435356648054,100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
204,rbf,-0.0022347252804652217,100,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
205,rbf,-0.08533685002485036,1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
206,rbf,-0.07255737423052308,1,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
207,rbf,-0.229697192238934,100,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
208,rbf,-0.028617248971895305,1,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
209,rbf,-0.03243088663897407,1,1.0,0.1,100,art.attacks.evasion.ProjectedGradientDescent
210,rbf,-0.04604600502554486,1,0.1,0.1,10,art.attacks.evasion.ProjectedGradientDescent
211,rbf,-0.06170408949755117,1,0.1,0.1,10,art.attacks.evasion.ProjectedGradientDescent
212,rbf,-0.05537607949100063,10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
213,rbf,-0.07913635311120856,10,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
214,rbf,-0.06099961794650251,10,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
215,rbf,-0.06749256035767423,1,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
216,rbf,-0.07478272315584009,1,0.01,0.1,10,art.attacks.evasion.ProjectedGradientDescent
217,rbf,-0.02052042637930458,10,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
218,rbf,-0.0685938825066191,1,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
219,rbf,-0.14830821366631283,100,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
