,Kernel,Average False Confidence,Attack,batch_size,eps,eps_step,max_iter,name
53,rbf,0.07766751188900337,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.01, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
54,rbf,0.054900246907842704,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
55,rbf,0.1464192346570762,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 1, 'batch_size': 10}",10,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
56,rbf,0.1834858709161669,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 10}",10,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
57,rbf,0.2039839110038286,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 100, 'batch_size': 100}",100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
58,rbf,0.24488369284457256,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 1}",1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
59,rbf,0.09531076966730696,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 1}",1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
60,rbf,0.1323379488422813,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
61,rbf,0.277948454545496,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 100, 'batch_size': 1}",1,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
62,rbf,0.16241778821088396,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
63,rbf,0.08127593042009366,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
64,rbf,0.3249450235174336,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
65,rbf,0.14765870899896286,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
66,rbf,0.16447513640665698,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
67,rbf,0.08963723448712813,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
68,rbf,0.09399291926015024,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 10}",10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
69,rbf,0.08963723448712813,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
70,rbf,0.09657989050257337,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
71,rbf,0.0749157192703225,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
72,rbf,-0.0059803608606465546,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
73,rbf,0.1533440387953221,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
74,rbf,0.059965549842546435,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
75,rbf,0.13142812119936736,"{'batch_size': 100, 'eps': 1, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
76,rbf,0.18591300202743954,"{'batch_size': 1, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
77,rbf,0.13903464845433303,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
78,rbf,0.13519743450681646,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
79,rbf,0.28036580172315523,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 100, 'batch_size': 1}",1,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
80,rbf,0.011451304821326861,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
81,rbf,0.25801534586686914,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1000, 'batch_size': 100}",100,0.1,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
82,rbf,0.1654844441060127,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 100, 'batch_size': 100}",100,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
83,rbf,0.1533504439881476,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 10, 'batch_size': 100}",100,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
84,rbf,0.08963723448712813,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
85,rbf,0.011811441573933896,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
86,rbf,0.11612219725031425,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 1}",1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
87,rbf,0.020238377282760484,"{'batch_size': 100, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,1.0,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
88,rbf,0.08963723448712813,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
89,rbf,0.18224264633275983,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
90,rbf,0.1937483367731965,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 1}",1,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
91,rbf,-0.0017027746928210785,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
92,rbf,0.13517126707586027,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
93,rbf,-9.322223066630775e-05,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
94,rbf,0.009384595114699818,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
95,rbf,0.07955042206790243,"{'batch_size': 1, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
96,rbf,0.23345010663239418,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 100}",100,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
97,rbf,0.059965549842546435,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
98,rbf,0.15215229567300628,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
99,rbf,0.08963723448712813,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
100,rbf,0.13076530860551114,"{'batch_size': 1, 'eps': 0.01, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
101,rbf,0.08963723448712813,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
102,rbf,0.16801502672766383,"{'batch_size': 1, 'eps': 1, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
103,rbf,0.06400893029941769,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1, 'batch_size': 100}",100,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
104,rbf,-0.003002217390299693,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
105,rbf,0.059965549842546435,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
106,rbf,0.03641162187509044,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 100}",100,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
107,rbf,0.11637278341459875,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 1}",1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
108,rbf,0.20365365949660144,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 10}",10,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
109,rbf,0.008996375634187776,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
110,rbf,0.16616842778081783,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
111,rbf,0.2273265807784663,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 10}",10,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
112,rbf,0.1428830079355202,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
