,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,max_iter,name
155,rbf,-0.4263812866546005,10,0.1,0.1,100,art.attacks.evasion.ProjectedGradientDescent
156,rbf,-0.4286601378710958,100,1.0,0.1,1,art.attacks.evasion.ProjectedGradientDescent
157,rbf,-0.4066703557187415,1,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
158,rbf,-0.4259769501904703,1,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
159,rbf,-0.4317314147977639,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
160,rbf,-0.4246904625299052,100,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
161,rbf,-0.41416197780141945,100,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
162,rbf,-0.4317340000120386,10,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
163,rbf,-0.4370515957375815,10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
164,rbf,-0.4323529332263576,100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
165,rbf,-0.43153541483068447,1,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
166,rbf,-0.4174826541353785,10,1.0,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
167,rbf,-0.43257144520963736,100,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
168,rbf,-0.42778086103624113,1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
169,rbf,-0.42778998893868786,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
170,rbf,-0.4288538509385426,100,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
171,rbf,-0.4212529388091346,10,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
172,rbf,-0.43144751088233574,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
173,rbf,-0.43119388132202974,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
174,rbf,-0.4212446946695197,1,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
175,rbf,-0.4371415223113481,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
176,rbf,-0.4249221728358463,10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
177,rbf,-0.4091739067474216,10,0.001,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
178,rbf,-0.40869432809525086,100,1.0,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
179,rbf,-0.43029051151349784,10,0.01,0.1,10,art.attacks.evasion.ProjectedGradientDescent
180,rbf,-0.3992586861691532,100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
181,rbf,-0.43524112656705727,1,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
182,rbf,-0.4285076769440478,10,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
183,rbf,-0.4214948647858219,10,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
184,rbf,-0.43317558701536746,10,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
185,rbf,-0.4239270295107703,100,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
186,rbf,-0.4282321420467614,100,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
187,rbf,-0.4213701789341308,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
188,rbf,-0.43015486414144066,1,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
189,rbf,-0.4239441790237369,10,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
190,rbf,-0.42693902320232224,10,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
191,rbf,-0.42854956021461776,100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
192,rbf,-0.428098049103866,100,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
193,rbf,-0.43130009905944644,100,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
194,rbf,-0.41928168715578495,10,0.1,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
195,rbf,-0.42770753629412284,1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
196,rbf,-0.43126830552535167,10,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
197,rbf,-0.42971173998865986,10,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
198,rbf,-0.4321336014553643,100,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
199,rbf,-0.4249323383937727,10,0.001,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
200,rbf,-0.4371547340865795,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
201,rbf,-0.43353382885314273,100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
202,rbf,-0.4235466357821781,100,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
203,rbf,-0.4312536950639452,100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
204,rbf,-0.3679593669700126,100,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
205,rbf,-0.4323818262141569,1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
206,rbf,-0.42787119521094374,1,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
207,rbf,-0.43351552638501817,100,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
208,rbf,-0.423494575725163,1,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
209,rbf,-0.4263812866546005,1,1.0,0.1,100,art.attacks.evasion.ProjectedGradientDescent
210,rbf,-0.42246832101284426,1,0.1,0.1,10,art.attacks.evasion.ProjectedGradientDescent
211,rbf,-0.428499010314605,1,0.1,0.1,10,art.attacks.evasion.ProjectedGradientDescent
212,rbf,-0.4301635742881274,10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
213,rbf,-0.4298009351109949,10,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
214,rbf,-0.42837229226056706,10,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
215,rbf,-0.43136925254303293,1,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
216,rbf,-0.43176853873603427,1,0.01,0.1,10,art.attacks.evasion.ProjectedGradientDescent
217,rbf,-0.42444731452793955,10,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
218,rbf,-0.4315187617973879,1,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
219,rbf,-0.4325027470685825,100,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
220,rbf,-0.4263812866546005,1,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
221,rbf,-0.4284884754690596,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
222,rbf,-0.42790766249615897,1,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
223,rbf,-0.4263812866546005,10,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
224,rbf,-0.42808636506691494,1,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
225,rbf,-0.4302787028101085,100,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
226,rbf,-0.4327000792485066,1,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
227,rbf,-0.42579057072348975,10,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
228,rbf,-0.39774334736650047,1,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
229,rbf,-0.43708544622869844,100,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
230,rbf,-0.4235466357821781,1,0.1,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
231,rbf,-0.43125333898450713,10,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
232,rbf,-0.43291557800206076,10,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
233,rbf,-0.4325211153378586,1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
234,rbf,-0.4235466357821781,1,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
235,rbf,-0.42121950169772654,1,1.0,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
236,rbf,-0.4263812866546005,1,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
237,rbf,-0.432400511030402,100,1.0,0.1,10,art.attacks.evasion.ProjectedGradientDescent
238,rbf,-0.4317771193650074,100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
239,rbf,-0.43181998987181897,100,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
