,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,norm,name,max_iter
87,rbf,0.4455397003004191,10.0,0.3,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,
88,rbf,0.45146828372110426,100.0,0.001,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,
89,rbf,0.13035021241777742,100.0,0.3,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,
90,rbf,0.2068995739987149,1.0,0.3,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
91,rbf,0.0017501167080702818,100.0,1.0,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
92,rbf,0.2076433780430734,100.0,0.01,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
93,rbf,0.4411787080465076,50.0,0.5,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,
94,rbf,-0.13574767529879034,50.0,1.0,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
95,rbf,0.029302068866155655,100.0,0.01,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
96,rbf,0.28687170430113296,100.0,0.001,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
97,rbf,0.20764333000649052,10.0,0.3,0.001,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
98,rbf,0.2077293291417019,10.0,0.001,0.001,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
99,rbf,0.07962376457950578,100.0,0.5,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
100,rbf,0.44347342815777296,100.0,0.1,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
101,rbf,0.4512996927374345,100.0,0.01,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,
102,rbf,0.06710701337032252,1.0,0.1,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
103,rbf,0.24112371638809837,1.0,0.3,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,
104,rbf,0.4123399849240189,50.0,0.1,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,
105,rbf,0.2922456925110085,10.0,1.0,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,
106,rbf,0.31655141254336366,1.0,0.3,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
107,rbf,0.2922412084526934,50.0,1.0,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
108,rbf,0.025292086405159675,1.0,0.001,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
109,rbf,0.025471998100843645,1.0,0.01,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
110,rbf,0.025472028374844642,100.0,0.3,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
111,rbf,0.19379785910085448,50.0,0.5,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
112,rbf,0.33487208612204195,10.0,0.5,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
113,rbf,0.3372676654216071,1.0,0.001,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
114,rbf,0.053540148821256836,50.0,1.0,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
115,rbf,0.3090727574669333,50.0,0.1,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
116,rbf,0.07962376884077692,50.0,0.5,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,
117,rbf,0.2063112587087066,1.0,0.1,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
118,rbf,0.2723031905667542,100.0,0.5,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
119,rbf,0.27634430010881506,10.0,0.1,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
120,rbf,0.3373153944067046,50.0,0.3,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
121,rbf,0.025934412865759558,10.0,0.01,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,
122,rbf,0.2723031828570218,1.0,1.0,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
123,rbf,0.02559483474598458,1.0,0.001,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,
124,rbf,0.3198801492849743,10.0,1.0,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
125,rbf,0.3090835425251186,10.0,0.1,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
126,rbf,0.15681811324120346,1.0,1.0,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
127,rbf,0.33557618141024226,50.0,0.1,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
128,rbf,0.3373153954328503,100.0,0.001,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
129,rbf,0.03924094532028682,1.0,0.5,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
130,rbf,0.20689956881965746,1.0,0.5,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
131,rbf,0.20764337830517246,100.0,0.01,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
132,rbf,0.025934408098099042,50.0,0.01,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
133,rbf,0.28415359669538764,50.0,0.1,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
134,rbf,0.20728733863654508,100.0,0.01,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
